Tick,Hero,Action
5078,CDOTA_Unit_Hero_Lion,M
5080,CDOTA_Unit_Hero_Shredder,M
5084,CDOTA_Unit_Hero_Lion,M
5084,CDOTA_Unit_Hero_MonkeyKing,A
5086,CDOTA_Unit_Hero_KeeperOfTheLight,M
5088,CDOTA_Unit_Hero_Lion,M
5092,CDOTA_Unit_Hero_MonkeyKing,A
5092,CDOTA_Unit_Hero_Pudge,M
5094,CDOTA_Unit_Hero_Lion,M
5094,CDOTA_Unit_Hero_Pudge,M
5096,CDOTA_Unit_Hero_MonkeyKing,M
5100,CDOTA_Unit_Hero_Shredder,M
5108,CDOTA_Unit_Hero_Pudge,M
5108,CDOTA_Unit_Hero_Shredder,M
5112,CDOTA_Unit_Hero_Pudge,M
5112,CDOTA_Unit_Hero_Abaddon,M
5112,CDOTA_Unit_Hero_MonkeyKing,A
5114,CDOTA_Unit_Hero_Shredder,M
5114,CDOTA_Unit_Hero_MonkeyKing,M
5116,CDOTA_Unit_Hero_KeeperOfTheLight,M
5120,CDOTA_Unit_Hero_Abaddon,M
5120,CDOTA_Unit_Hero_Pudge,M
5120,CDOTA_Unit_Hero_Shredder,M
5122,CDOTA_Unit_Hero_KeeperOfTheLight,M
5126,CDOTA_Unit_Hero_Pudge,M
5128,CDOTA_Unit_Hero_Shredder,M
5128,CDOTA_Unit_Hero_MonkeyKing,M
5132,CDOTA_Unit_Hero_Pudge,M
5134,CDOTA_Unit_Hero_MonkeyKing,A
5134,CDOTA_Unit_Hero_MonkeyKing,M
5140,CDOTA_Unit_Hero_Pudge,M
5142,CDOTA_Unit_Hero_KeeperOfTheLight,M
5146,CDOTA_Unit_Hero_KeeperOfTheLight,M
5146,CDOTA_Unit_Hero_Pudge,M
5146,CDOTA_Unit_Hero_Shredder,M
5148,CDOTA_Unit_Hero_Abaddon,M
5150,CDOTA_Unit_Hero_Lion,M
5152,CDOTA_Unit_Hero_Pudge,M
5152,CDOTA_Unit_Hero_Shredder,M
5156,CDOTA_Unit_Hero_Lion,M
5156,CDOTA_Unit_Hero_MonkeyKing,M
5158,CDOTA_Unit_Hero_Pudge,M
5160,CDOTA_Unit_Hero_Lion,M
5166,CDOTA_Unit_Hero_Lion,M
5166,CDOTA_Unit_Hero_MonkeyKing,A
5170,CDOTA_Unit_Hero_Lion,M
5172,CDOTA_Unit_Hero_MonkeyKing,M
5174,CDOTA_Unit_Hero_Pudge,M
5176,CDOTA_Unit_Hero_Lion,M
5180,CDOTA_Unit_Hero_Abaddon,M
5180,CDOTA_Unit_Hero_Lion,M
5180,CDOTA_Unit_Hero_Pudge,M
5184,CDOTA_Unit_Hero_Kunkka,M
5186,CDOTA_Unit_Hero_Lion,M
5188,CDOTA_Unit_Hero_Abaddon,M
5188,CDOTA_Unit_Hero_Pudge,M
5190,CDOTA_Unit_Hero_Lion,M
5194,CDOTA_Unit_Hero_Shredder,M
5194,CDOTA_Unit_Hero_Lion,M
5198,CDOTA_Unit_Hero_VengefulSpirit,M
5200,CDOTA_Unit_Hero_Lion,S
5200,CDOTA_Unit_Hero_Shredder,M
5202,CDOTA_Unit_Hero_VengefulSpirit,M
5206,CDOTA_Unit_Hero_Pudge,M
5206,CDOTA_Unit_Hero_Shredder,M
5208,CDOTA_Unit_Hero_Lion,M
5208,CDOTA_Unit_Hero_Abaddon,M
5212,CDOTA_Unit_Hero_Shredder,M
5214,CDOTA_Unit_Hero_Lion,M
5218,CDOTA_Unit_Hero_VengefulSpirit,M
5220,CDOTA_Unit_Hero_Lion,M
5220,CDOTA_Unit_Hero_Abaddon,M
5222,CDOTA_Unit_Hero_Shredder,M
5224,CDOTA_Unit_Hero_Lion,M
5224,CDOTA_Unit_Hero_VengefulSpirit,M
5228,CDOTA_Unit_Hero_Ursa,M
5228,CDOTA_Unit_Hero_Shredder,M
5230,CDOTA_Unit_Hero_VengefulSpirit,M
5234,CDOTA_Unit_Hero_Pudge,M
5234,CDOTA_Unit_Hero_VengefulSpirit,M
5236,CDOTA_Unit_Hero_KeeperOfTheLight,M
5242,CDOTA_Unit_Hero_Abaddon,M
5250,CDOTA_Unit_Hero_Pudge,M
5250,CDOTA_Unit_Hero_Abaddon,M
5254,CDOTA_Unit_Hero_MonkeyKing,M
5256,CDOTA_Unit_Hero_Shredder,M
5258,CDOTA_Unit_Hero_MonkeyKing,M
5262,CDOTA_Unit_Hero_Pudge,M
5264,CDOTA_Unit_Hero_VengefulSpirit,M
5264,CDOTA_Unit_Hero_Abaddon,M
5268,CDOTA_Unit_Hero_VengefulSpirit,M
5270,CDOTA_Unit_Hero_Pudge,M
5272,CDOTA_Unit_Hero_Lion,M
5274,CDOTA_Unit_Hero_Shredder,M
5274,CDOTA_Unit_Hero_VengefulSpirit,M
5280,CDOTA_Unit_Hero_Pudge,M
5280,CDOTA_Unit_Hero_MonkeyKing,A
5286,CDOTA_Unit_Hero_Pudge,M
5286,CDOTA_Unit_Hero_Abaddon,M
5288,CDOTA_Unit_Hero_Shredder,M
5292,CDOTA_Unit_Hero_Ursa,M
5292,CDOTA_Unit_Hero_Lion,M
5300,CDOTA_Unit_Hero_Pudge,M
5306,CDOTA_Unit_Hero_Puck,M
5306,CDOTA_Unit_Hero_Puck,M
5306,CDOTA_Unit_Hero_Shredder,M
5306,CDOTA_Unit_Hero_Abaddon,M
5308,CDOTA_Unit_Hero_Lion,M
5308,CDOTA_Unit_Hero_Pudge,M
5314,CDOTA_Unit_Hero_Abaddon,M
5318,CDOTA_Unit_Hero_Pudge,M
5320,CDOTA_Unit_Hero_Lion,M
5322,CDOTA_Unit_Hero_Puck,M
5322,CDOTA_Unit_Hero_MonkeyKing,M
5322,CDOTA_Unit_Hero_Puck,M
5324,CDOTA_Unit_Hero_Lion,M
5324,CDOTA_Unit_Hero_Shredder,M
5326,CDOTA_Unit_Hero_Puck,M
5326,CDOTA_Unit_Hero_Puck,M
5328,CDOTA_Unit_Hero_KeeperOfTheLight,M
5330,CDOTA_Unit_Hero_Lion,M
5334,CDOTA_Unit_Hero_Lion,M
5334,CDOTA_Unit_Hero_Puck,M
5334,CDOTA_Unit_Hero_Abaddon,M
5334,CDOTA_Unit_Hero_Shredder,M
5336,CDOTA_Unit_Hero_Puck,M
5340,CDOTA_Unit_Hero_Lion,M
5340,CDOTA_Unit_Hero_MonkeyKing,A
5344,CDOTA_Unit_Hero_Shredder,M
5346,CDOTA_Unit_Hero_Lion,M
5348,CDOTA_Unit_Hero_KeeperOfTheLight,M
5350,CDOTA_Unit_Hero_Lion,M
5352,CDOTA_Unit_Hero_Shredder,M
5354,CDOTA_Unit_Hero_Abaddon,M
5356,CDOTA_Unit_Hero_Lion,M
5362,CDOTA_Unit_Hero_Lion,M
5366,CDOTA_Unit_Hero_Lion,M
5370,CDOTA_Unit_Hero_Shredder,M
5372,CDOTA_Unit_Hero_Lion,M
5376,CDOTA_Unit_Hero_Pudge,M
5378,CDOTA_Unit_Hero_Lion,M
5378,CDOTA_Unit_Hero_Abaddon,M
5378,CDOTA_Unit_Hero_Shredder,M
5382,CDOTA_Unit_Hero_Lion,M
5386,CDOTA_Unit_Hero_Abaddon,M
5388,CDOTA_Unit_Hero_Shredder,M
5388,CDOTA_Unit_Hero_Lion,M
5394,CDOTA_Unit_Hero_Lion,M
5394,CDOTA_Unit_Hero_Shredder,M
5398,CDOTA_Unit_Hero_Lion,M
5398,CDOTA_Unit_Hero_Puck,M
5400,CDOTA_Unit_Hero_Puck,M
5400,CDOTA_Unit_Hero_Ursa,M
5400,CDOTA_Unit_Hero_Shredder,M
5402,CDOTA_Unit_Hero_Abaddon,M
5404,CDOTA_Unit_Hero_Lion,M
5408,CDOTA_Unit_Hero_Lion,M
5408,CDOTA_Unit_Hero_VengefulSpirit,M
5414,CDOTA_Unit_Hero_Puck,M
5414,CDOTA_Unit_Hero_Lion,M
5414,CDOTA_Unit_Hero_Puck,M
5416,CDOTA_Unit_Hero_KeeperOfTheLight,M
5418,CDOTA_Unit_Hero_Puck,M
5418,CDOTA_Unit_Hero_Puck,M
5420,CDOTA_Unit_Hero_Lion,M
5422,CDOTA_Unit_Hero_Pudge,M
5424,CDOTA_Unit_Hero_Abaddon,M
5424,CDOTA_Unit_Hero_Lion,M
5428,CDOTA_Unit_Hero_Pudge,M
5430,CDOTA_Unit_Hero_Ursa,M
5430,CDOTA_Unit_Hero_Lion,M
5430,CDOTA_Unit_Hero_Puck,M
5432,CDOTA_Unit_Hero_Puck,M
5434,CDOTA_Unit_Hero_KeeperOfTheLight,M
5436,CDOTA_Unit_Hero_Lion,M
5438,CDOTA_Unit_Hero_KeeperOfTheLight,M
5442,CDOTA_Unit_Hero_KeeperOfTheLight,M
5442,CDOTA_Unit_Hero_Pudge,M
5450,CDOTA_Unit_Hero_Ursa,M
5454,CDOTA_Unit_Hero_Lion,M
5464,CDOTA_Unit_Hero_Pudge,M
5466,CDOTA_Unit_Hero_KeeperOfTheLight,M
5474,CDOTA_Unit_Hero_Abaddon,M
5476,CDOTA_Unit_Hero_Ursa,M
5476,CDOTA_Unit_Hero_Lion,M
