Tick,Hero,X,Y
4920,CDOTA_Unit_Hero_Nevermore,233,365
4920,CDOTA_Unit_Hero_Necrolyte,31,28
4920,CDOTA_Unit_Hero_AncientApparition,294,359
4920,CDOTA_Unit_Hero_DarkWillow,273,375
4920,CDOTA_Unit_Hero_ChaosKnight,195,255
4920,CDOTA_Unit_Hero_Invoker,198,243
4920,CDOTA_Unit_Hero_Abaddon,148,217
4920,CDOTA_Unit_Hero_Magnataur,219,229
4920,CDOTA_Unit_Hero_StormSpirit,181,131
4920,CDOTA_Unit_Hero_Sven,367,360
4925,CDOTA_Unit_Hero_Nevermore,232,369
4925,CDOTA_Unit_Hero_Necrolyte,31,28
4925,CDOTA_Unit_Hero_AncientApparition,294,359
4925,CDOTA_Unit_Hero_DarkWillow,273,375
4925,CDOTA_Unit_Hero_ChaosKnight,195,255
4925,CDOTA_Unit_Hero_Invoker,199,243
4925,CDOTA_Unit_Hero_Abaddon,148,217
4925,CDOTA_Unit_Hero_Magnataur,219,229
4925,CDOTA_Unit_Hero_StormSpirit,191,161
4925,CDOTA_Unit_Hero_Sven,367,360
4930,CDOTA_Unit_Hero_Nevermore,228,372
4930,CDOTA_Unit_Hero_Necrolyte,31,28
4930,CDOTA_Unit_Hero_AncientApparition,294,359
4930,CDOTA_Unit_Hero_DarkWillow,273,375
4930,CDOTA_Unit_Hero_ChaosKnight,195,255
4930,CDOTA_Unit_Hero_Invoker,199,243
4930,CDOTA_Unit_Hero_Abaddon,148,217
4930,CDOTA_Unit_Hero_Magnataur,219,229
4930,CDOTA_Unit_Hero_StormSpirit,178,165
4930,CDOTA_Unit_Hero_Sven,367,360
4935,CDOTA_Unit_Hero_Nevermore,228,373
4935,CDOTA_Unit_Hero_Necrolyte,31,28
4935,CDOTA_Unit_Hero_AncientApparition,294,359
4935,CDOTA_Unit_Hero_DarkWillow,273,375
4935,CDOTA_Unit_Hero_ChaosKnight,195,255
4935,CDOTA_Unit_Hero_Invoker,177,232
4935,CDOTA_Unit_Hero_Abaddon,148,217
4935,CDOTA_Unit_Hero_Magnataur,219,229
4935,CDOTA_Unit_Hero_StormSpirit,158,171
4935,CDOTA_Unit_Hero_Sven,367,360
4940,CDOTA_Unit_Hero_Nevermore,231,369
4940,CDOTA_Unit_Hero_Necrolyte,31,28
4940,CDOTA_Unit_Hero_AncientApparition,294,359
4940,CDOTA_Unit_Hero_DarkWillow,273,375
4940,CDOTA_Unit_Hero_ChaosKnight,195,255
4940,CDOTA_Unit_Hero_Invoker,184,235
4940,CDOTA_Unit_Hero_Abaddon,148,217
4940,CDOTA_Unit_Hero_Magnataur,219,229
4940,CDOTA_Unit_Hero_StormSpirit,153,177
4940,CDOTA_Unit_Hero_Sven,367,360
4945,CDOTA_Unit_Hero_Nevermore,231,370
4945,CDOTA_Unit_Hero_Necrolyte,31,28
4945,CDOTA_Unit_Hero_AncientApparition,294,359
4945,CDOTA_Unit_Hero_DarkWillow,273,375
4945,CDOTA_Unit_Hero_ChaosKnight,195,255
4945,CDOTA_Unit_Hero_Invoker,184,235
4945,CDOTA_Unit_Hero_Abaddon,148,217
4945,CDOTA_Unit_Hero_Magnataur,219,229
4945,CDOTA_Unit_Hero_StormSpirit,153,177
4945,CDOTA_Unit_Hero_Sven,349,220
4950,CDOTA_Unit_Hero_Nevermore,231,370
4950,CDOTA_Unit_Hero_Necrolyte,31,28
4950,CDOTA_Unit_Hero_AncientApparition,294,359
4950,CDOTA_Unit_Hero_DarkWillow,273,375
4950,CDOTA_Unit_Hero_ChaosKnight,207,253
4950,CDOTA_Unit_Hero_Invoker,184,235
4950,CDOTA_Unit_Hero_Abaddon,148,217
4950,CDOTA_Unit_Hero_Magnataur,219,229
4950,CDOTA_Unit_Hero_StormSpirit,168,212
4950,CDOTA_Unit_Hero_Sven,348,220
4955,CDOTA_Unit_Hero_Nevermore,231,370
4955,CDOTA_Unit_Hero_Necrolyte,31,28
4955,CDOTA_Unit_Hero_AncientApparition,474,261
4955,CDOTA_Unit_Hero_DarkWillow,273,375
4955,CDOTA_Unit_Hero_ChaosKnight,227,228
4955,CDOTA_Unit_Hero_Invoker,184,235
4955,CDOTA_Unit_Hero_Abaddon,148,217
4955,CDOTA_Unit_Hero_Magnataur,219,229
4955,CDOTA_Unit_Hero_StormSpirit,161,219
4955,CDOTA_Unit_Hero_Sven,230,173
4960,CDOTA_Unit_Hero_Nevermore,232,370
4960,CDOTA_Unit_Hero_Necrolyte,31,28
4960,CDOTA_Unit_Hero_AncientApparition,401,227
4960,CDOTA_Unit_Hero_DarkWillow,273,375
4960,CDOTA_Unit_Hero_ChaosKnight,228,228
4960,CDOTA_Unit_Hero_Invoker,184,235
4960,CDOTA_Unit_Hero_Abaddon,148,217
4960,CDOTA_Unit_Hero_Magnataur,219,229
4960,CDOTA_Unit_Hero_StormSpirit,147,218
4960,CDOTA_Unit_Hero_Sven,163,168
4965,CDOTA_Unit_Hero_Nevermore,230,372
4965,CDOTA_Unit_Hero_Necrolyte,31,28
4965,CDOTA_Unit_Hero_AncientApparition,388,201
4965,CDOTA_Unit_Hero_DarkWillow,273,375
