Tick,Hero,Action
4566,CDOTA_Unit_Hero_DrowRanger,M
4570,CDOTA_Unit_Hero_DrowRanger,M
4576,CDOTA_Unit_Hero_Mirana,M
4580,CDOTA_Unit_Hero_DrowRanger,M
4586,CDOTA_Unit_Hero_DrowRanger,M
4590,CDOTA_Unit_Hero_Invoker,M
4592,CDOTA_Unit_Hero_DrowRanger,M
4592,CDOTA_Unit_Hero_Invoker,M
4594,CDOTA_Unit_Hero_Phoenix,M
4594,CDOTA_Unit_Hero_Phoenix,M
4594,CDOTA_Unit_Hero_Mirana,M
4596,CDOTA_Unit_Hero_Pugna,M
4598,CDOTA_Unit_Hero_Invoker,M
4598,CDOTA_Unit_Hero_Invoker,M
4598,CDOTA_Unit_Hero_DrowRanger,M
4598,CDOTA_Unit_Hero_Phoenix,M
4600,CDOTA_Unit_Hero_Invoker,M
4604,CDOTA_Unit_Hero_DrowRanger,M
4604,CDOTA_Unit_Hero_Phoenix,M
4606,CDOTA_Unit_Hero_Mirana,M
4612,CDOTA_Unit_Hero_DrowRanger,M
4614,CDOTA_Unit_Hero_Invoker,M
4618,CDOTA_Unit_Hero_DrowRanger,M
4618,CDOTA_Unit_Hero_Invoker,M
4618,CDOTA_Unit_Hero_Phoenix,M
4620,CDOTA_Unit_Hero_Pugna,M
4622,CDOTA_Unit_Hero_Invoker,M
4622,CDOTA_Unit_Hero_DrowRanger,M
4624,CDOTA_Unit_Hero_Invoker,M
4626,CDOTA_Unit_Hero_Pugna,M
4628,CDOTA_Unit_Hero_DrowRanger,M
4632,CDOTA_Unit_Hero_Invoker,M
4634,CDOTA_Unit_Hero_Invoker,M
4634,CDOTA_Unit_Hero_Phoenix,M
4634,CDOTA_Unit_Hero_DrowRanger,M
4636,CDOTA_Unit_Hero_Invoker,M
4638,CDOTA_Unit_Hero_Invoker,M
4638,CDOTA_Unit_Hero_Pugna,M
4640,CDOTA_Unit_Hero_DrowRanger,M
4644,CDOTA_Unit_Hero_Pugna,M
4648,CDOTA_Unit_Hero_Phoenix,M
4648,CDOTA_Unit_Hero_Invoker,M
4650,CDOTA_Unit_Hero_Invoker,M
4654,CDOTA_Unit_Hero_Invoker,M
4654,CDOTA_Unit_Hero_Invoker,M
4654,CDOTA_Unit_Hero_Phoenix,M
4664,CDOTA_Unit_Hero_Mirana,M
4668,CDOTA_Unit_Hero_Oracle,M
4670,CDOTA_Unit_Hero_Oracle,M
4670,CDOTA_Unit_Hero_Phoenix,M
4672,CDOTA_Unit_Hero_Mirana,M
4674,CDOTA_Unit_Hero_Oracle,M
4678,CDOTA_Unit_Hero_Phoenix,M
4684,CDOTA_Unit_Hero_Phoenix,M
4688,CDOTA_Unit_Hero_Void_Spirit,M
4692,CDOTA_Unit_Hero_Invoker,M
4694,CDOTA_Unit_Hero_Phoenix,M
4696,CDOTA_Unit_Hero_Void_Spirit,M
4696,CDOTA_Unit_Hero_Mirana,M
4698,CDOTA_Unit_Hero_Invoker,M
4698,CDOTA_Unit_Hero_Phoenix,M
4718,CDOTA_Unit_Hero_DrowRanger,M
4718,CDOTA_Unit_Hero_Phoenix,M
4724,CDOTA_Unit_Hero_Phoenix,M
4724,CDOTA_Unit_Hero_Void_Spirit,M
4730,CDOTA_Unit_Hero_Void_Spirit,M
4736,CDOTA_Unit_Hero_DrowRanger,M
4748,CDOTA_Unit_Hero_Void_Spirit,M
4748,CDOTA_Unit_Hero_Invoker,M
4750,CDOTA_Unit_Hero_Invoker,M
4760,CDOTA_Unit_Hero_Void_Spirit,M
4764,CDOTA_Unit_Hero_DrowRanger,M
4766,CDOTA_Unit_Hero_Ursa,M
4770,CDOTA_Unit_Hero_DrowRanger,M
4770,CDOTA_Unit_Hero_Ursa,M
4774,CDOTA_Unit_Hero_Void_Spirit,M
4774,CDOTA_Unit_Hero_Ursa,M
4778,CDOTA_Unit_Hero_Ursa,M
4780,CDOTA_Unit_Hero_Void_Spirit,M
4782,CDOTA_Unit_Hero_Ursa,M
4786,CDOTA_Unit_Hero_Ursa,M
4788,CDOTA_Unit_Hero_Ursa,M
4792,CDOTA_Unit_Hero_Void_Spirit,M
4796,CDOTA_Unit_Hero_DrowRanger,M
4798,CDOTA_Unit_Hero_Oracle,M
4798,CDOTA_Unit_Hero_Oracle,M
4800,CDOTA_Unit_Hero_Invoker,M
4802,CDOTA_Unit_Hero_DrowRanger,M
4802,CDOTA_Unit_Hero_Invoker,M
4802,CDOTA_Unit_Hero_Void_Spirit,M
4808,CDOTA_Unit_Hero_Oracle,M
4808,CDOTA_Unit_Hero_Oracle,M
4812,CDOTA_Unit_Hero_Oracle,M
4816,CDOTA_Unit_Hero_Oracle,M
4820,CDOTA_Unit_Hero_Void_Spirit,M
4828,CDOTA_Unit_Hero_Void_Spirit,M
4844,CDOTA_Unit_Hero_Oracle,M
4846,CDOTA_Unit_Hero_Oracle,M
4850,CDOTA_Unit_Hero_Oracle,M
4850,CDOTA_Unit_Hero_Oracle,M
4854,CDOTA_Unit_Hero_Void_Spirit,M
4858,CDOTA_Unit_Hero_DrowRanger,M
4862,CDOTA_Unit_Hero_Void_Spirit,M
4864,CDOTA_Unit_Hero_DrowRanger,M
4868,CDOTA_Unit_Hero_Invoker,M
